Time (s): 0
1000	A: 1. 
1000	R: 1. 
Time (s): 2e-05
990	A: 1. 
10	A: 1. R: 1. 
990	R: 1. 
Time (s): 4e-05
980	A: 1. 
20	A: 1. R: 1. 
980	R: 1. 
Time (s): 6e-05
966	A: 1. 
34	A: 1. R: 1. 
966	R: 1. 
Time (s): 8e-05
955	A: 1. 
45	A: 1. R: 1. 
955	R: 1. 
Time (s): 0.0001
947	A: 1. 
53	A: 1. R: 1. 
947	R: 1. 
Time (s): 0.00012
941	A: 1. 
59	A: 1. R: 1. 
941	R: 1. 
Time (s): 0.00014
932	A: 1. 
68	A: 1. R: 1. 
932	R: 1. 
Time (s): 0.00016
920	A: 1. 
80	A: 1. R: 1. 
920	R: 1. 
Time (s): 0.00018
905	A: 1. 
95	A: 1. R: 1. 
905	R: 1. 
Time (s): 0.0002
892	A: 1. 
108	A: 1. R: 1. 
892	R: 1. 
Time (s): 0.00022
882	A: 1. 
118	A: 1. R: 1. 
882	R: 1. 
Time (s): 0.00024
871	A: 1. 
129	A: 1. R: 1. 
871	R: 1. 
Time (s): 0.00026
139	A: 1. R: 1. 
861	A: 1. 
861	R: 1. 
Time (s): 0.00028
149	A: 1. R: 1. 
851	A: 1. 
851	R: 1. 
Time (s): 0.0003
155	A: 1. R: 1. 
845	A: 1. 
845	R: 1. 
Time (s): 0.00032
161	A: 1. R: 1. 
839	A: 1. 
839	R: 1. 
Time (s): 0.00034
170	A: 1. R: 1. 
830	A: 1. 
830	R: 1. 
Time (s): 0.00036
180	A: 1. R: 1. 
820	A: 1. 
820	R: 1. 
Time (s): 0.00038
191	A: 1. R: 1. 
809	A: 1. 
809	R: 1. 
Time (s): 0.0004
200	A: 1. R: 1. 
800	A: 1. 
800	R: 1. 
Time (s): 0.00042
204	A: 1. R: 1. 
796	A: 1. 
796	R: 1. 
Time (s): 0.00044
212	A: 1. R: 1. 
788	A: 1. 
788	R: 1. 
Time (s): 0.00046
221	A: 1. R: 1. 
779	A: 1. 
779	R: 1. 
Time (s): 0.00048
228	A: 1. R: 1. 
772	A: 1. 
772	R: 1. 
Time (s): 0.0005
237	A: 1. R: 1. 
763	A: 1. 
763	R: 1. 
Time (s): 0.00052
244	A: 1. R: 1. 
756	A: 1. 
756	R: 1. 
Time (s): 0.00054
249	A: 1. R: 1. 
751	A: 1. 
751	R: 1. 
Time (s): 0.00056
255	A: 1. R: 1. 
745	A: 1. 
745	R: 1. 
Time (s): 0.00058
262	A: 1. R: 1. 
738	A: 1. 
738	R: 1. 
Time (s): 0.0006
268	A: 1. R: 1. 
732	A: 1. 
732	R: 1. 
Time (s): 0.00062
274	A: 1. R: 1. 
726	A: 1. 
726	R: 1. 
Time (s): 0.00064
276	A: 1. R: 1. 
724	A: 1. 
724	R: 1. 
Time (s): 0.00066
279	A: 1. R: 1. 
721	A: 1. 
721	R: 1. 
Time (s): 0.00068
284	A: 1. R: 1. 
716	A: 1. 
716	R: 1. 
Time (s): 0.0007
287	A: 1. R: 1. 
713	A: 1. 
713	R: 1. 
Time (s): 0.00072
291	A: 1. R: 1. 
709	A: 1. 
709	R: 1. 
Time (s): 0.00074
293	A: 1. R: 1. 
707	A: 1. 
707	R: 1. 
Time (s): 0.00076
296	A: 1. R: 1. 
704	A: 1. 
704	R: 1. 
Time (s): 0.00078
301	A: 1. R: 1. 
699	A: 1. 
699	R: 1. 
Time (s): 0.0008
311	A: 1. R: 1. 
689	A: 1. 
689	R: 1. 
Time (s): 0.00082
313	A: 1. R: 1. 
687	A: 1. 
687	R: 1. 
Time (s): 0.00084
321	A: 1. R: 1. 
679	A: 1. 
679	R: 1. 
Time (s): 0.00086
325	A: 1. R: 1. 
675	A: 1. 
675	R: 1. 
Time (s): 0.00088
330	A: 1. R: 1. 
670	A: 1. 
670	R: 1. 
Time (s): 0.0009
334	A: 1. R: 1. 
666	A: 1. 
666	R: 1. 
Time (s): 0.00092
341	A: 1. R: 1. 
659	A: 1. 
659	R: 1. 
Time (s): 0.00094
344	A: 1. R: 1. 
656	A: 1. 
656	R: 1. 
Time (s): 0.00096
347	A: 1. R: 1. 
653	A: 1. 
653	R: 1. 
Time (s): 0.00098
351	A: 1. R: 1. 
649	A: 1. 
649	R: 1. 
Time (s): 0.001
357	A: 1. R: 1. 
643	A: 1. 
643	R: 1. 
Time (s): 0.00102
361	A: 1. R: 1. 
639	A: 1. 
639	R: 1. 
Time (s): 0.00104
364	A: 1. R: 1. 
636	A: 1. 
636	R: 1. 
Time (s): 0.00106
366	A: 1. R: 1. 
634	A: 1. 
634	R: 1. 
Time (s): 0.00108
368	A: 1. R: 1. 
632	A: 1. 
632	R: 1. 
Time (s): 0.0011
372	A: 1. R: 1. 
628	A: 1. 
628	R: 1. 
Time (s): 0.00112
378	A: 1. R: 1. 
622	A: 1. 
622	R: 1. 
Time (s): 0.00114
380	A: 1. R: 1. 
620	A: 1. 
620	R: 1. 
Time (s): 0.00116
383	A: 1. R: 1. 
617	A: 1. 
617	R: 1. 
Time (s): 0.00118
387	A: 1. R: 1. 
613	A: 1. 
613	R: 1. 
Time (s): 0.0012
389	A: 1. R: 1. 
611	A: 1. 
611	R: 1. 
Time (s): 0.00122
393	A: 1. R: 1. 
607	A: 1. 
607	R: 1. 
Time (s): 0.00124
396	A: 1. R: 1. 
604	A: 1. 
604	R: 1. 
Time (s): 0.00126
399	A: 1. R: 1. 
601	A: 1. 
601	R: 1. 
Time (s): 0.00128
408	A: 1. R: 1. 
592	A: 1. 
592	R: 1. 
Time (s): 0.0013
414	A: 1. R: 1. 
586	A: 1. 
586	R: 1. 
Time (s): 0.00132
420	A: 1. R: 1. 
580	A: 1. 
580	R: 1. 
Time (s): 0.00134
424	A: 1. R: 1. 
576	A: 1. 
576	R: 1. 
Time (s): 0.00136
425	A: 1. R: 1. 
575	A: 1. 
575	R: 1. 
Time (s): 0.00138
428	A: 1. R: 1. 
572	A: 1. 
572	R: 1. 
Time (s): 0.0014
434	A: 1. R: 1. 
566	A: 1. 
566	R: 1. 
Time (s): 0.00142
435	A: 1. R: 1. 
565	A: 1. 
565	R: 1. 
Time (s): 0.00144
437	A: 1. R: 1. 
563	A: 1. 
563	R: 1. 
Time (s): 0.00146
436	A: 1. R: 1. 
564	A: 1. 
564	R: 1. 
Time (s): 0.00148
444	A: 1. R: 1. 
556	A: 1. 
556	R: 1. 
Time (s): 0.0015
453	A: 1. R: 1. 
547	A: 1. 
547	R: 1. 
Time (s): 0.00152
458	A: 1. R: 1. 
542	A: 1. 
542	R: 1. 
Time (s): 0.00154
458	A: 1. R: 1. 
542	A: 1. 
542	R: 1. 
Time (s): 0.00156
461	A: 1. R: 1. 
539	A: 1. 
539	R: 1. 
Time (s): 0.00158
467	A: 1. R: 1. 
533	A: 1. 
533	R: 1. 
Time (s): 0.0016
469	A: 1. R: 1. 
531	A: 1. 
531	R: 1. 
Time (s): 0.00162
472	A: 1. R: 1. 
528	A: 1. 
528	R: 1. 
Time (s): 0.00164
475	A: 1. R: 1. 
525	A: 1. 
525	R: 1. 
Time (s): 0.00166
481	A: 1. R: 1. 
519	A: 1. 
519	R: 1. 
Time (s): 0.00168
